"Country or Area","Year","Value","Value Footnotes"
"Albania","1995","674",""
"Algeria","2019","4020.25",""
"Algeria","1995","4290",""
"Armenia","1995","796",""
"Australia","1995","9452",""
"Austria","2019","4877",""
"Austria","1995","5672",""
"Azerbaijan","2019","2139.87",""
"Azerbaijan","1995","2123",""
"Bangladesh","1995","2706",""
"Belarus","2019","5459",""
"Belarus","1995","5543",""
"Belgium","1995","3368",""
"Bosnia and Herzegovina","1995","1032",""
"Botswana","1995","971",""
"Bulgaria","2019","4030",""
"Bulgaria","1995","4294",""
"Burkina Faso","2019","518",""
"Burkina Faso","1995","622",""
"C̫te d'Ivoire","1995","639",""
"Cambodia","1995","650",""
"Cameroon","1995","1006",""
"Chile","1995","2742",""
"China","2019","68141",""
"China","1995","54616",""
"Congo","1995","706",""
"Costa Rica","1995","581",""
"Croatia","2019","2617",""
"Croatia","1995","2296",""
"Cuba","1995","4693",""
"Czech Republic","2019","9396",""
"Czech Republic","1995","9430",""
"Dem. Rep. Congo","2019","3641",""
"Dem. Rep. Congo","1995","4477",""
"Denmark","1995","2349",""
"Ecuador","1995","956",""
"Egypt","1995","4810",""
"El Salvador","1995","564",""
"Estonia","1995","1021",""
"Finland","2019","5923",""
"Finland","1995","5880",""
"France","1995","31997",""
"Gabon","2019","810",""
"Gabon","1995","683",""
"Georgia","1995","1575",""
"Germany","2019","33422",""
"Germany","1995","41718",""
"Ghana","1995","953",""
"Greece","2019","2279",""
"Greece","1995","2474",""
"Guatemala","1995","903",""
"Hong Kong SAR, China","1995","100",""
"Hungary","2019","7587.7",""
"Hungary","1995","7988",""
"India","2019","68155",""
"India","1995","62660",""
"Indonesia","1995","6441",""
"Iran","1995","5332",""
"Iraq","1995","2422",""
"Ireland","1995","1954",""
"Israel","2019","1598.916",""
"Israel","1995","610",""
"Italy","2019","16778.6",""
"Italy","1995","16003",""
"Japan","1995","20134",""
"Jordan","1995","293",""
"Kazakhstan","1995","13736",""
"Kenya","1995","2740",""
"Korea","2019","4111.2",""
"Korea","1995","3101",""
"Kyrgyz Republic","1995","415",""
"Latvia","2019","1859.6",""
"Latvia","1995","2413",""
"Lithuania","2019","1911",""
"Lithuania","1995","2002",""
"Luxembourg","1995","275",""
"Madagascar","1995","883",""
"Malaysia","1995","1798",""
"Mali","1995","729",""
"Mauritania","2019","728",""
"Moldova","1995","1326",""
"Morocco","2019","2295",""
"Morocco","1995","1907",""
"Mozambique","1995","3123",""
"Netherlands","1995","2739",""
"Nigeria","1995","3557",""
"North Macedonia","2019","683",""
"North Macedonia","1995","699",""
"Norway","1995","4023",""
"Pakistan","1995","8775",""
"Panama","1995","485",""
"Paraguay","1995","441",""
"Peru","1995","1615",""
"Philippines","1995","456",""
"Poland","2019","18538",""
"Poland","1995","23986",""
"Portugal","2019","2526.149",""
"Portugal","1995","2850",""
"Romania","2019","10759",""
"Romania","1995","11376",""
"Russia","2019","85494",""
"Russia","1995","87388",""
"Saudi Arabia","1995","1018",""
"Senegal","1995","906",""
"Serbia","2019","3724.468",""
"Slovak Republic","2019","3629.154",""
"Slovak Republic","1995","3668",""
"Slovenia","1995","1201",""
"South Africa","1995","21531",""
"Spain","2019","15718",""
"Spain","1995","13856",""
"Sri Lanka","1995","1491",""
"Sudan","1995","4595",""
"Sweden","2019","9701",""
"Sweden","1995","10884",""
"Switzerland","2019","3236.24529",""
"Switzerland","1995","3232",""
"Syrian Arab Republic","1995","1525",""
"Tajikistan","1995","483",""
"Tanzania","1995","4460",""
"Thailand","1995","4041",""
"Tunisia","2019","1777",""
"Tunisia","1995","1860",""
"Turkey","2019","10378",""
"Turkey","1995","8549",""
"Turkmenistan","1995","2153",""
"Uganda","1995","1241",""
"Ukraine","1995","22607",""
"United Arab Emirates","2019","261",""
"United Kingdom","1995","17001",""
"United States","1995","201284",""
"Uruguay","1995","3002",""
"Uzbekistan","1995","3483",""
"Venezuela","1995","336",""
"Vietnam","2019","2481",""
"Vietnam","1995","2832",""
"Zambia","1995","1273",""

