Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA,
7/1/2021 12:00:00 AM,Compton,12,1-hr,µg/m3,N/A,N/A,
7/1/2021 1:00:00 AM,Compton,9,1-hr,µg/m3,N/A,N/A,
7/1/2021 2:00:00 AM,Compton,6,1-hr,µg/m3,N/A,N/A,
7/1/2021 3:00:00 AM,Compton,6,1-hr,µg/m3,N/A,N/A,
7/1/2021 4:00:00 AM,Compton,10,1-hr,µg/m3,N/A,N/A,
7/1/2021 5:00:00 AM,Compton,8,1-hr,µg/m3,N/A,N/A,
7/1/2021 6:00:00 AM,Compton,8,1-hr,µg/m3,N/A,N/A,
7/1/2021 7:00:00 AM,Compton,4,1-hr,µg/m3,N/A,N/A,
7/1/2021 8:00:00 AM,Compton,15,1-hr,µg/m3,N/A,N/A,
7/1/2021 9:00:00 AM,Compton,6,1-hr,µg/m3,N/A,N/A,
7/1/2021 10:00:00 AM,Compton,13,1-hr,µg/m3,N/A,N/A,
7/1/2021 11:00:00 AM,Compton,15,1-hr,µg/m3,N/A,N/A,
7/1/2021 12:00:00 PM,Compton,13,1-hr,µg/m3,N/A,N/A,
7/1/2021 1:00:00 PM,Compton,13,1-hr,µg/m3,N/A,N/A,
7/1/2021 2:00:00 PM,Compton,8,1-hr,µg/m3,N/A,N/A,
7/1/2021 3:00:00 PM,Compton,4,1-hr,µg/m3,N/A,N/A,
7/1/2021 4:00:00 PM,Compton,10,1-hr,µg/m3,N/A,N/A,
7/1/2021 5:00:00 PM,Compton,7,1-hr,µg/m3,N/A,N/A,
7/1/2021 6:00:00 PM,Compton,8,1-hr,µg/m3,N/A,N/A,
7/1/2021 7:00:00 PM,Compton,9,1-hr,µg/m3,N/A,N/A,
7/1/2021 8:00:00 PM,Compton,11,1-hr,µg/m3,N/A,N/A,
7/1/2021 9:00:00 PM,Compton,8,1-hr,µg/m3,N/A,N/A,
7/1/2021 10:00:00 PM,Compton,5,1-hr,µg/m3,N/A,N/A,
